,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
143,5,0,0,1,0,0,0,0,0,0
144,6,0,0,1,0,1,0,0,0,0
145,4,0,0,0,0,0,0,0,0,0
146,1,0,0,1,0,0,0,0,0,0
147,7,0,0,0,0,1,0,0,0,0
148,4,0,0,2,0,0,0,0,0,0
149,3,1,0,0,0,0,0,0,0,0
150,1,2,2,0,0,0,0,0,0,0
151,2,0,0,0,0,0,0,0,0,0
152,2,0,0,0,0,0,0,0,0,0
153,5,0,0,0,0,0,0,0,0,0
154,4,0,0,0,0,0,0,0,0,0
155,5,0,1,0,0,0,0,0,0,0
156,2,1,2,0,0,0,0,0,0,0
157,3,2,0,0,0,0,0,0,0,0
158,4,1,0,0,0,0,0,0,0,0
159,0,2,1,0,0,0,0,0,0,0
160,11,0,0,1,0,0,0,0,0,0
161,7,1,1,1,0,0,0,0,0,0
162,11,0,0,1,0,1,0,0,0,0
163,14,0,0,0,0,0,0,0,0,0
164,9,0,1,2,2,1,0,0,0,0
165,8,0,1,2,1,0,0,0,0,0
166,9,0,2,0,0,0,0,0,0,0
167,7,1,2,1,3,0,0,0,0,0
168,10,1,0,0,0,0,0,0,0,0
169,6,0,1,1,0,0,0,0,0,0
170,4,1,0,0,0,0,0,0,0,0
171,1,3,0,0,1,0,0,0,0,0
172,4,3,0,0,0,0,0,0,0,0
173,7,0,0,0,0,0,0,0,0,0
174,10,0,0,0,0,0,0,0,0,0
175,10,0,2,0,0,0,0,0,0,0
176,8,0,0,0,1,0,0,0,0,0
177,2,1,2,0,1,0,0,0,0,0
178,8,0,0,0,0,0,0,0,0,0
179,6,0,0,0,0,0,0,1,0,0
180,5,0,0,0,2,0,0,0,0,0
181,5,0,1,0,1,0,0,1,0,0
182,8,0,0,0,0,0,0,0,0,0
183,10,0,0,0,1,0,0,0,0,0
184,5,0,0,0,1,0,0,0,0,0
185,6,0,0,1,1,0,1,0,0,0
186,6,1,0,1,1,0,1,0,0,0
187,3,0,0,1,0,0,0,0,0,0
188,8,0,0,0,0,0,0,0,0,0
189,7,0,0,0,1,0,0,0,0,0
190,6,2,1,0,1,0,0,0,0,0
191,8,1,0,1,0,0,0,0,0,0
192,8,0,0,0,0,0,1,0,0,0
193,4,0,0,0,1,0,1,0,0,0
