,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
143,8,1,0,0,2,0,0,0,0,0
144,12,0,0,0,0,1,0,0,0,0
145,8,0,0,1,0,0,0,0,0,0
146,13,0,0,1,0,1,0,0,0,0
147,8,0,1,1,0,0,0,0,0,0
148,7,0,0,0,0,0,0,0,0,0
149,0,1,0,0,0,0,0,0,0,0
150,12,0,1,0,0,0,0,0,0,0
151,4,4,2,0,0,0,0,0,0,0
152,4,4,0,0,1,0,1,0,0,0
153,8,1,0,0,0,0,2,0,0,0
154,8,2,5,0,0,0,1,0,0,0
155,7,2,2,0,0,0,0,0,0,0
156,8,0,1,0,1,0,1,0,0,0
157,3,3,4,0,1,0,1,0,0,0
158,5,5,1,0,0,0,1,0,0,0
159,6,0,0,0,0,0,0,0,0,0
160,10,0,0,0,1,0,1,0,0,0
161,7,3,1,0,1,0,4,0,0,1
162,10,0,0,0,0,0,1,0,0,0
163,12,1,1,0,0,0,0,0,0,0
164,10,1,0,0,1,0,0,0,0,0
165,12,0,1,0,1,0,0,0,0,0
166,14,1,2,0,1,0,0,0,0,0
167,10,0,2,0,0,0,1,0,0,0
168,9,1,2,0,0,0,2,0,0,0
169,9,0,2,1,1,0,1,0,0,0
170,1,0,0,0,0,0,0,0,0,0
171,5,0,0,0,0,0,1,0,0,0
172,2,0,0,0,0,0,0,0,0,0
173,1,0,0,0,0,0,1,0,0,0
174,2,0,0,0,0,0,0,0,0,0
175,3,0,0,0,0,0,0,0,0,0
176,4,0,1,0,0,0,0,0,0,0
177,1,0,1,0,0,0,0,0,0,0
178,3,0,1,0,0,0,1,0,0,0
179,0,0,0,0,0,0,0,0,0,0
180,0,3,1,1,1,0,0,0,0,0
181,2,2,1,1,0,0,0,0,0,0
182,3,1,0,1,0,0,0,0,0,0
183,0,3,0,0,0,2,0,0,0,0
184,0,3,0,0,0,0,0,0,0,0
185,1,0,0,0,0,3,0,0,0,0
186,0,0,0,0,0,1,0,0,0,0
187,0,0,0,0,0,0,0,0,2,0
188,0,0,0,0,0,0,0,0,2,0
189,0,0,1,1,0,1,0,0,0,0
190,3,3,1,0,2,0,0,0,0,0
191,8,2,0,0,0,0,0,0,0,0
192,10,0,0,0,3,0,1,0,0,0
193,4,3,3,0,0,0,0,0,0,0
194,3,0,4,0,3,0,0,1,0,0
195,6,3,2,0,1,0,0,5,0,0
196,7,2,1,0,3,0,0,3,0,0
197,4,0,2,1,0,0,0,1,0,0
198,4,0,1,0,0,0,1,1,0,0
199,8,0,1,0,2,0,0,2,0,0
200,1,0,1,0,0,0,0,0,0,0
201,3,2,0,0,0,0,0,0,0,0
202,4,0,0,0,0,0,0,0,0,0
203,1,3,1,0,1,0,0,0,0,0
204,3,0,0,0,0,1,0,0,0,0
205,9,0,1,0,0,0,2,0,0,0
206,3,0,1,0,0,1,0,0,0,0
207,3,0,1,0,0,0,0,0,0,0
208,3,1,0,0,0,1,0,0,0,0
209,1,0,1,1,0,0,0,0,0,0
210,4,1,1,2,0,0,0,0,0,0
211,7,1,0,1,1,0,0,1,0,0
212,7,2,0,0,2,0,0,0,0,0
213,7,0,0,3,0,0,0,0,0,0
214,5,0,0,1,1,0,0,0,0,0
215,7,0,1,0,0,0,0,0,0,0
216,8,3,0,1,1,0,0,0,0,0
217,7,0,0,3,1,1,0,0,0,0
218,6,0,2,0,2,1,0,0,0,0
219,0,0,1,0,0,0,0,0,0,0
220,0,0,1,1,0,0,0,0,0,0
221,2,1,0,1,0,0,0,0,0,0
222,6,0,0,0,0,1,0,0,0,0
223,1,0,0,0,0,0,0,0,1,0
224,4,0,0,0,0,1,0,0,0,0
225,4,0,0,3,0,0,0,0,0,0
226,1,0,0,0,1,0,0,0,0,0
227,2,0,1,1,0,0,0,0,0,0
228,3,0,0,0,0,0,0,0,0,0
229,0,2,1,0,0,0,0,2,0,0
230,6,0,0,0,0,0,0,0,0,0
231,9,1,0,0,1,0,0,0,0,0
232,5,4,0,0,1,0,0,0,0,0
233,4,3,0,0,1,1,0,0,0,0
234,7,1,0,0,0,2,0,0,0,0
235,4,0,0,0,0,1,0,0,0,0
236,4,1,0,0,0,0,0,0,1,0
237,7,0,0,0,0,0,0,0,1,0
238,5,0,1,0,0,1,0,0,0,0
239,3,0,0,0,0,0,0,0,0,0
240,1,0,0,0,0,0,0,0,0,0
241,2,0,1,1,0,0,0,0,0,0
242,4,0,0,1,0,0,0,0,0,0
243,3,0,0,0,0,0,0,0,0,0
244,2,1,1,0,0,0,0,0,0,0
245,4,0,0,0,0,0,0,0,0,0
246,2,4,0,0,0,0,0,0,0,0
247,5,1,0,0,1,0,0,0,0,0
248,4,2,1,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0
250,2,6,1,0,0,0,0,0,0,0
251,3,4,0,0,0,0,1,0,0,0
252,6,3,0,0,2,0,0,0,0,0
253,4,2,0,0,0,0,2,0,0,0
254,0,6,1,0,0,0,1,0,0,0
255,4,1,0,0,1,0,0,0,0,0
256,3,2,1,0,0,0,0,0,0,0
257,8,2,2,0,1,0,1,0,0,0
258,3,3,2,0,2,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0
260,2,0,1,0,0,0,0,0,0,0
261,3,0,0,1,0,0,1,0,0,0
262,3,0,0,0,0,0,0,0,0,0
263,3,2,0,0,0,0,0,0,0,0
264,5,2,0,1,2,0,1,0,0,0
265,4,1,0,0,1,0,0,0,1,0
266,6,0,0,0,0,0,0,0,0,0
267,3,0,0,0,0,0,0,0,0,0
268,4,0,1,1,0,0,1,0,0,0
269,1,0,0,0,0,0,0,0,0,0
270,6,0,0,2,0,0,0,0,0,0
271,10,3,0,0,0,1,0,0,0,0
272,16,0,0,0,1,0,0,0,0,0
273,8,1,1,0,0,1,0,0,0,0
274,14,0,0,1,0,2,0,0,0,0
275,15,0,0,0,1,2,0,0,0,0
276,15,0,0,1,1,1,0,0,0,0
277,7,0,0,2,1,1,0,0,0,0
278,11,1,1,0,1,0,0,0,0,0
279,6,3,0,0,0,1,0,1,0,0
280,9,1,2,2,2,0,1,0,0,0
281,4,3,1,0,0,0,0,0,0,0
282,10,1,0,1,1,0,1,0,0,0
283,6,0,0,1,1,0,1,0,0,0
284,8,0,2,2,0,0,1,0,0,0
285,5,0,1,1,0,0,2,0,0,0
286,7,0,1,0,1,0,0,0,0,0
287,15,1,1,0,0,0,1,0,0,0
288,5,1,2,0,1,0,0,0,0,0
289,1,1,0,0,0,1,0,0,0,0
290,1,0,1,0,0,0,0,0,0,0
291,3,0,0,0,0,0,0,0,0,0
292,1,0,0,0,0,0,0,0,0,0
293,3,0,0,0,0,0,0,0,0,0
294,3,0,0,0,0,0,0,0,0,0
295,2,0,0,0,0,0,0,0,0,0
296,0,1,1,0,0,0,0,0,0,0
297,4,0,0,0,1,0,0,0,0,0
298,3,2,0,0,0,0,0,0,0,0
299,1,0,0,1,0,0,0,0,0,0
300,11,2,0,1,0,0,0,0,0,0
301,18,2,2,0,0,1,0,0,0,0
302,8,1,1,3,0,0,1,0,0,0
303,13,1,2,0,0,0,0,0,0,0
304,14,0,1,0,0,0,1,0,0,0
305,10,3,2,0,0,0,3,0,0,0
306,16,0,2,0,0,2,1,0,0,0
307,12,0,3,0,0,1,1,1,0,0
308,9,1,2,1,0,0,1,0,0,0
309,1,0,0,0,0,0,0,0,0,0
310,4,0,0,0,0,0,0,0,0,0
311,7,0,0,1,0,0,0,0,0,0
312,6,0,0,0,0,2,0,0,0,0
313,3,0,0,2,0,0,0,0,0,0
314,2,0,2,1,0,0,0,0,0,0
315,1,2,0,1,0,0,0,0,0,0
316,4,0,0,1,0,0,0,0,0,0
317,6,0,0,0,0,0,0,0,0,0
318,4,1,1,0,0,0,0,0,0,0
